Name.text,Name.href,Price,Zip,Tel
O Ya,http://www.yelp.com/biz/o-ya-boston,$$$$,2111,(617) 654-9900
Casa Razdora,http://www.yelp.com/biz/casa-razdora-boston,$,2109,(617) 338-6700
Neptune Oyster,http://www.yelp.com/biz/neptune-oyster-boston,$$$,2113,(617) 742-3474
Mike & Patty’s,http://www.yelp.com/biz/mike-and-pattys-boston,$,2116,(617) 423-3447
Island Creek Oyster Bar,http://www.yelp.com/biz/island-creek-oyster-bar-boston,$$$,2215,(617) 532-5300
Toro,http://www.yelp.com/biz/toro-boston,$$$,2118,(617) 536-4300
Atlantic Fish Company,http://www.yelp.com/biz/atlantic-fish-company-boston,$$$,2116,(617) 267-4000
Galleria Umberto,http://www.yelp.com/biz/galleria-umberto-boston,$,2113,(617) 227-5709
Avana Sushi,http://www.yelp.com/biz/avana-sushi-boston,$,2111,(617) 818-7782
Barcelona Wine Bar South End,http://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-5,$$,2116,(617) 266-2600
